Transformer;Measurement Number;Power (MVA);Tp;Ts;Temperature Rise;Year;Impedance (kV);Hydrogen;Methane;Ethane;Ethylene;Acetylene;Carbon Monoxide;Carbon Dioxide;Nitrogen;Oxygen;Total Dissolved Combustible Gases;TDCG (ppm);Sample Temperature;% Moisture by Dry Weight of Cellulose Insulation;% Relative Water Saturation in Oil;% Relative Humidity Saturation;Moisture Content (ppm);Neutralization Number (mg KOH/g);Inhibitor Content ();Corrosive Sulfur Test;Color;Visual Inspection;Viscosity (cSt) at 25 °C;Viscosity (SSU) at 25 °C;Specific Gravity (60/60 °F);Interfacial Tension (dynes/cm);Power Factor at 25 °C;Power Factor at 100 °C;Dielectric Breakdown (kV) at 25 °C;Dielectric Breakdown (kV) at 1.016 mm (0.04 in) at 25 °C;Dielectric Breakdown (kV) at 2.032 mm (0.08 in) at 25 °C;Hydroxymethyl Furan (ppb);Furfuryl Alcohol (ppb);Furfural (ppb);Acetyl Furan (ppb);Methyl Furfural (ppb);Diagnosis by Basic Gas Ratio;Diagnosis by Dornenburg;Diagnosis by Rogers;Diagnosis by Duval;
T1;1;50;;; ;;;24;1;0;1;0;125;537;39159;9120;48967;151;29.7;0.9;2.2;;2;0.0027;0.32;;0.5;CL&SPK;15.59;79.37;0.8836;40.8;0.009;0.218;49;32;35;ND,<10;ND,<10;ND,<10;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Thermal fault,  >300 °C - <700 °C (T2);
T1;2;50;;;;;;0;0;0;0;0;223;1126;1126;4764;4764;233;28.3;2.5;10.7;;9;0.0064;0.32;;0.5;CL&SPK;15.9;80.59;0.8837;29.6;0.02;0.395;59;33;40;ND,<10;ND,<10;ND,<10;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Undefined;
T2;1;7;69;34.5;55;1998;9.67;5;10;1;6;0;691;3931;65708;11502;81854;713;55;0.39;4;;15;0.022;0.14;;1.25;CL&SPK;;;0.87;36.2;0.026;0.3;;20;;ND,<10;ND,<10;21;ND,<10;ND,<10;Thermal fault, >700 °C (T3);Unidentifiable Fault;Thermal fault, >700°C (T3);Unidentifiable Fault;
T2;2;7;69;34.5;55;1998;9.67;0;27;72;12;0;30;4305;90957;8823;104226;141;37.4;0.5;0.8;;1;0.0089;;;1.5;CL&SPK;16.56;83.23;0.8931;32.2;0.023;2.25;50;33;38;ND,<10;ND,<10;ND,<10;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Thermal fault,  >300 °C - <700 °C (T2);
T2;3;7;69;34.5;55;1998;9.67;81;13;0;10;0;2080;25079;61562;14678;103503;2184;32.9;2.7;12.5;;13;0.0142;0.22;;1;CL&SPK;13.91;72.83;0.8846;41.1;0.008;0.255;34;32;36;ND,<10;ND,<10;ND,<10;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Unidentifiable Fault;
T2;4;7;69;34.5;55;1998;9.67;0;10;6;17;0;622;8851;54999;6693;71198;655;32.5;2.4;10.8;;11;0.0046;0.22;;1;CL&SPK;13.9;72.8;0.8819;35.7;0.008;0.398;38;36;42;ND,<10;ND,<10;35;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Thermal fault, >700°C (T3);
T2;5;7;69;34.5;55;1998;9.67;4;6;2;3;0;1317;11187;63960;4024;80503;1331;34.4;2.1;9;;10;0.0123;0.21;;1;CL&SPK;13.83;73.07;0.8805;33.3;0.0148;0.259;48;31;42;ND,<10;ND,<10;42;ND,<10;ND,<10;Thermal fault,  >300 °C - <700 °C (T2);Unidentifiable Fault;Thermal fault,  >300 °C - <700 °C (T2);Unidentifiable Fault;
T2;6;7;69;34.5;55;1998;9.67;3;0;2;0;0;3398;13572;63279;2349;82603;3404;58;2;10.2;;34;0.0117;0.23;;1;CL&SPK;13.71;72.07;0.8842;32.9;0.0286;0.245;45;39;45;ND,<10;ND,<10;ND,<10;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Undefined;
T2;7;7;69;34.5;55;1998;9.67;3;0;2;0;0;3206;10561;75066;213;89052;3211;56;2;9.6;;29;0.0084;0.22;;1;CL&SPK;13.79;72.38;0.8804;36.3;0.0181;0.1925;32;29;40;ND,<10;ND,<10;ND,<10;ND,<10;ND,<10;Undefined;Unidentifiable Fault;Undefined;Undefined;
T2;8;7;69;34.5;55;1998;9.67;5;10;2;8;0;661;5269;59053;14776;79784;686;40;;;0.86;22;0.022;0.094;Corrosive;1.25;CL&SPK;;;0.877;36.1;0.028;0.33;;19;;ND.<10;ND.<10;1;ND.<10;ND.<10;Thermal fault,  >300 °C - <700 °C (T2);Unidentifiable Fault;Thermal fault, >700°C (T3);Thermal fault,  >300 °C - <700 °C (T2);
