Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
24.0,1,0.0,1,0,125,537,0,50.0,50.0,0.0
0.0,0,0.0,0,0,223,1126,0,0.0,0.0,0.0
5.0,10,1.0,6,0,691,3931,4,62.5,37.5,0.0
0.0,27,72.0,12,0,30,4305,0,69.23076923076923,30.76923076923077,0.0
0.0,10,6.0,17,0,622,8851,0,37.03703703703704,62.96296296296296,0.0
4.0,6,2.0,3,0,1317,11187,3,66.66666666666666,33.33333333333333,0.0
5.0,10,2.0,8,0,661,5269,4,55.55555555555556,44.44444444444444,0.0
5.0,10,1.0,6,0,691,3931,4,62.5,37.5,0.0
0.0,27,72.0,12,0,30,4305,0,69.23076923076923,30.76923076923077,0.0
0.0,10,6.0,17,0,622,8851,0,37.03703703703704,62.96296296296296,0.0
4.0,6,2.0,3,0,1317,11187,3,66.66666666666666,33.33333333333333,0.0
3.0,2,0.0,0,0,53,825,0,100.0,0.0,0.0
8.0,13,0.0001,1,0,72,1357,4,92.85714285714286,7.142857142857142,0.0
19.0,0,0.0,0,0,51,696,0,0.0,0.0,0.0
0.0,0,0.0,0,0,24,511,0,0.0,0.0,0.0
0.0,3,0.0,0,0,47,685,0,100.0,0.0,0.0
0.0,1,0.0,0,0,39,306,0,100.0,0.0,0.0
3.0,1,1.0,0,0,30,463,0,100.0,0.0,0.0
0.0,1,0.0,0,0,39,306,0,100.0,0.0,0.0
0.0,3,0.0,0,0,47,685,0,100.0,0.0,0.0
0.0,0,0.0,0,0,24,511,0,0.0,0.0,0.0
19.0,0,0.0,0,0,51,696,0,0.0,0.0,0.0
8.0,13,0.0001,1,0,72,1357,4,92.85714285714286,7.142857142857142,0.0
3.0,2,0.0,0,0,53,825,0,100.0,0.0,0.0
2.0,2,5.0,10,0,59,922,3,16.666666666666664,83.33333333333334,0.0
15.0,64,29.0,101,1,96,720,3,38.55421686746988,60.8433734939759,0.6024096385542169
5.0,31,36.0,120,1,75,857,3,20.394736842105264,78.94736842105263,0.6578947368421052
1.0,1,1.0,1,0,35,361,3,50.0,50.0,0.0
2.0,2,5.0,10,0,59,922,3,16.666666666666664,83.33333333333334,0.0
15.0,64,29.0,101,1,96,720,3,38.55421686746988,60.8433734939759,0.6024096385542169
5.0,31,36.0,120,1,75,857,3,20.394736842105264,78.94736842105263,0.6578947368421052
3.0,1,0.0,4,0,82,926,0,20.0,80.0,0.0
0.0,0,0.0,6,0,44,0,0,0.0,100.0,0.0
0.0,1,0.0,4,0,30,768,0,20.0,80.0,0.0
0.0001,1,2.0,4,0,105,1408,3,20.0,80.0,0.0
1.0,0,0.0,8,0,469,2145,0,0.0,100.0,0.0
6.0,16,2.0,8,0,191,2731,4,66.66666666666666,33.33333333333333,0.0
3.0,5,3.0,6,0,161,2192,3,45.45454545454545,54.54545454545454,0.0
0.0,1,0.0,4,0,75,832,0,20.0,80.0,0.0
3.0,1,0.0,4,0,82,926,0,20.0,80.0,0.0
0.0,0,0.0,6,0,44,1175,0,0.0,100.0,0.0
0.0,1,0.0,4,0,30,768,0,20.0,80.0,0.0
0.0001,1,2.0,4,0,105,1408,3,20.0,80.0,0.0
1.0,0,0.0,8,0,469,2145,0,0.0,100.0,0.0
